,,4-19-10 KN,4-19-10 SU,4-19-11 SU,4-19-11 KN,4-20-15 KN,4-20-15 WC,4-20-16 WC,4-20-16 KN,4-21-10 SS,4-21-10 MS,4-21-14 MS,4-21-14 SS,4-21-15 SC,4-21-15 MS,4-24-9 MS,4-24-9 SC,5-2-13 SC,5-2-13 WC,5-2-14 WC,5-2-14 SC,4-12-15 KN,4-12-15 SU,4-14-14 KN,4-14-14 WC,4-25-10 SU,4-25-10 KN,4-25-16 WC,4-25-16 KN,4-26-15 SS,4-26-15 MS,5-2-10 MS,5-2-10 SS,5-2-15 SC,5-2-15 MS,5-3-10 MS,5-3-10 SC,5-10-10 SC,5-10-10 WC,5-11-15 WC,5-11-15 SC,5-9-10 KN,5-9-10 SU,5-12-10 SU,5-12-10 KN,6-6-12 KN,6-6-12 WC,6-6-14 WC,6-6-14 KN,6-8-9 SS,6-8-9 MS,6-9-10 MS,6-9-10 SS,6-14-15 SC,6-14-15 MS,6-22-10 MS,6-22-10 SC,6-22-12 SC,6-22-12 WC,6-22-14 WC,6-22-14 SC,Total,,,Percentage,,Non-CS,CS,CP
6.2.3,"Sum val, (1+..+9)/3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,4,12,,33.33333333,,0,1,3
6.2.4,"Sum val, prev knowledge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,3,12,,25,,0,2,1
6.3.1,RPA w sum knowledge,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,1,1,,,1,,,,,,,7,12,,58.33333333,,1,3,3
6.3.2,RPA in equations,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,,8.333333333,,1,0,0
6.4,Spead extrema CDR,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,12,,25,,1,1,1
6.5.1,"Centre cell, attempt",,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,5,12,,41.66666667,,3,1,1
6.5.2,Middle in middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,1,1,,,1,,,,,,,6,12,,50,,0,3,3
6.5.3,Extrema in middle,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,6,12,,50,,3,1,2
6.6,Permuting,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,12,,16.66666667,,1,0,1
6.7,Extrema in corner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,2,12,,16.66666667,,0,0,2
,Word Crypto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1,Column equations,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,12,,25,,1,2,0
7.2,ENR relations,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,4,12,,33.33333333,,1,0,3
7.3,Last col nogoods,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,12,,16.66666667,,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Final Result (KN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finished,1,,,0,1,,,1,,,,,,,,,,,,,1,,1,,,1,,1,,,,,,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,,11,12,,91.66666667,,3,4,4
,Correct,1,,,0,1,,,0,,,,,,,,,,,,,1,,0,,,1,,1,,,,,,,,,,,,,1,,,1,1,,,0,,,,,,,,,,,,,8,12,,66.66666667,,2,3,3
,Validated,0,,,0,0,,,0,,,,,,,,,,,,,1,,0,,,1,,1,,,,,,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,,7,12,,58.33333333,,0,3,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Final Result (SC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finished,,,,,,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,,1,,,0,1,,,1,11,12,,91.66666667,,4,4,3
,Correct,,,,,,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,,1,,,0,1,,,1,11,12,,91.66666667,,4,4,3
,Validated,,,,,,,,,,,,,0,,,1,0,,,1,,,,,,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,,0,,,0,1,,,1,8,12,,66.66666667,,2,4,2
,All,,,,,,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,,1,,,1,0,,,0,,,,,,,,,,,,,1,,,0,1,,,1,9,12,,75,,4,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Final Result (SU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finished,,1,0,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,3,6,,50,,1,0,2
,Correct,,1,0,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,5,6,,83.33333333,,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Final Result (WC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finished,,,,,,0,0,,,,,,,,,,,0,0,,,,,0,,,0,,,,,,,,,,,0,0,,,,,,,0,1,,,,,,,,,,,0,0,,1,12,,8.333333333,,0,0,1
,Correct ,,,,,,0,0,,,,,,,,,,,0,1,,,,,0,,,0,,,,,,,,,,,0,0,,,,,,,0,1,,,,,,,,,,,1,1,,4,12,,33.33333333,,1,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Final Result (SS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finished,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,3,6,,50,,1,0,2
,Correct,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,6,6,,100,,2,2,2
,All,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,4,6,,66.66666667,,1,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Final Result (MS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finished,,,,,,,,,,0,1,,,0,0,,,,,,,,,,,,,,,0,0,,,1,0,,,,,,,,,,,,,,,1,1,,,0,,,,,,,4,11,,36.36363636,,1,1,2
